English Name_Nom anglais,French Name_Nom français,Scientific Name_Nom scientifique,Taxonomic Sort Order _Ordre de tri taxonomique,Species Occurrence in Canada _Occurrence de l'espèce au Canada,Approx % population change (base year-2016)_Variation approx en % de la population (année de base-2016),Population change category_ Catégorie de la variation de la population ,Data Source _Source de données,Regularly Occurring Native Species (included in analyses) _Espèce indigène régulièrement présente (incluse dans les analyses),Species Whose Range Expanded Into Canada Since 1970 (excluded from indicators) _Espèces dont l'aire de répartition s'est étendue au Canada depuis 1970 (exclus des indicateurs),Waterfowl _Sauvagine,Birds of Prey _Oiseaux de proie,Wetland Birds _Oiseaux de milieux humides,"Seabirds (includes all 58 seabird species - all species other than those with the data source indicating ""No acceptable data for indicator"" are included in the Canadian Nesting Seabirds indicator) _Oiseaux de mer (comprend les 58 espèces d'oiseaux de mer - toutes les espèces sauf celles qui ont comme source de données « Aucune donnée acceptable pour l'indicateur » sont incluses dans l'indicateur des oiseaux de mer nichant au Canada)",Forest Birds _Oiseaux forestiers,All Other Birds _Tous les autres oiseaux,Shorebirds _Oiseaux de rivage,Grassland Birds _Oiseaux de prairie,Aerial Insectivores _Insectivores aériens,Waterfowl and Wetland Birds - Goose species _Sauvagine et oiseaux de milieux humides - espèces d'oies,Waterfowl and Wetland Birds - Duck Species _Sauvagine et oiseaux de milieux humides - espèces de canards,Grassland Birds - Species Dependent On Native  Grassland _Oiseaux de prairie - espèces dépendantes des prairies indigènes,Grassland Birds - Species Tolerant Of Agriculture _Oiseaux de prairie - espèces tolérantes des paysages agricoles,Shorebirds - Long-distance Migrants _Oiseaux de rivage migrant sur de grandes distances,Shorebirds - Short-distance Migrants _Oiseaux de rivage migrant sur de courtes distances,Forest Birds - Species Wintering In South America _Oiseaux forestiers - espèces hivernant en Amérique du Sud,Forest Birds - Species Wintering In Canada _Oiseaux forestiers - espèces hivernant au Canada,Forest Birds - Forest Crop Specialists _Oiseaux forestiers - spécialistes de graines et de fruits d'arbres,
Sage Thrasher,Moqueur des armoises,Oreoscoptes montanus,1628,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Northern Mockingbird,Moqueur polyglotte,Mimus polyglottos,1632,Regular Breeder_Espèce qui niche régulièrement,17.8,Stable_Stables,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
European Starling,Étourneau sansonnet,Sturnus vulgaris,1633,Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ,-65.6,Decreasing_Diminution,BBS,,,,,,,,,,,,,,,,,,,,,
Bohemian Waxwing,Jaseur boréal,Bombycilla garrulus,1636,Regular Breeder_Espèce qui niche régulièrement,-45.3,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
Cedar Waxwing,Jaseur d'Amérique,Bombycilla cedrorum,1637,Regular Breeder_Espèce qui niche régulièrement,14.6,Stable_Stables,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
House Sparrow,Moineau domestique,Passer domesticus,1667,Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ,-81.5,Decreasing_Diminution,BBS,,,,,,,,,,,,,,,,,,,,,
Eastern Yellow Wagtail,Bergeronnette de Béringie,Motacilla tschutschensis,1669,Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
American Pipit,Pipit d'Amérique,Anthus rubescens,1677,Regular Breeder_Espèce qui niche régulièrement,-59.8,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Sprague's Pipit,Pipit de Sprague,Anthus spragueii,1679,Regular Breeder_Espèce qui niche régulièrement,-86.5,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Evening Grosbeak,Gros-bec errant,Coccothraustes vespertinus,1700,Regular Breeder_Espèce qui niche régulièrement,-88.3,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
Pine Grosbeak,Durbec des sapins,Pinicola enucleator,1742,Regular Breeder_Espèce qui niche régulièrement,-65.4,Decreasing_Diminution,CBC CA_RON CA,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
Gray-crowned Rosy-Finch,Roselin à tête grise,Leucosticte tephrocotis,1745,Regular Breeder_Espèce qui niche régulièrement,121,Increasing_Augmentation,CBC NA_RON AmN,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
House Finch,Roselin familier,Haemorhous mexicanus,1748,Regular Breeder_Espèce qui niche régulièrement,87.2,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Purple Finch,Roselin pourpré,Haemorhous purpureus,1749,Regular Breeder_Espèce qui niche régulièrement,-34,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,Included_Inclus,
Cassin's Finch,Roselin de Cassin,Haemorhous cassinii,1750,Regular Breeder_Espèce qui niche régulièrement,-55.8,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,Included_Inclus,
Common Redpoll,Sizerin flammé,Acanthis flammea,1753,Regular Breeder_Espèce qui niche régulièrement,-65,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,
